id;job_title;min_salary;max_salary
1;Глобальный страховой помощник;8953;17567
2;Региональный маркетинговый руководитель;19885;11379
3;Ведущий логистический инженер;27238;8128
4;Ведущий коммуникационный агент;21014;14501
5;Международный коммуникационный координатор;20614;26433
6;Национальный коммуникационный планировщик;25913;10015
7;Национальный оптимизационный инженер;25086;5354
8;Главный маркетинговый планировщик;6164;11054
9;Региональный логистический агент;2651;6539
10;Ведущий маркетинговый инженер;18994;13649
