id;street_address;postal_code;city;state_province
1;breed;skyline;Анива;as pulse sans
2;anti geez likable;humble;Каменск-Уральский;supposing
3;how boo;blah;Славянск-на-Кубани;traffic phew
4;down;considering;Смирных;corrupt
5;uncork concerning frilly;whether psst;Агата;minister labourer upon
6;mountain kinase customise;optimistically after endow;Торжок;meanwhile gadzooks
7;devastation crackle ha;ouch;Красноярск;interestingly
8;reopen;whose whoever;Шилка;hence
9;obediently curiously enthusiastically;regarding once;Волоколамск;correctly glimmer
10;slide incidentally and;snuggle muddy knowingly;Минеральные Воды;between
